candidate_id,decision,examples,explanation
CAND_047,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_048,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person has bad problem solving skills and lacks critical thinking.
CAND_049,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_050,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_051,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_052,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_053,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_054,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_055,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_056,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_057,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_058,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_059,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person should be hired because he is a quick learner.
CAND_060,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_061,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_062,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_063,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_064,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_065,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_066,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_067,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: reliable communication, lacking critical thinking, good task prioritization, excellent detail oriented, outstanding willing to learn | Label: HIRE']",This person has excellent communication skills and is willing to learn.
CAND_068,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person should be hired because he is a quick learner.
CAND_069,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
